Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC22 Production from HFC23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems - Offshore Production,Petroleum and Natural Gas Systems - Processing,Petroleum and Natural Gas Systems - Transmission/Compression,Petroleum and Natural Gas Systems - Underground Storage,Petroleum and Natural Gas Systems - LNG Storage,Petroleum and Natural Gas Systems - LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,CO2 used for NH3 / Lime?,Supplier of CO2?,CEMS?
1007124,1.10E+11,W I TAYLOR COUNTY LANDFILL LLC,MAUK,GA,31058,COUNTY ROAD 33,MARION COUNTY,32.53,-84.44,562212,HH,Waste,419754.75,,419754.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419754.75,,,,N,N,N
1007705,1.10E+11,W M W I - TIMBERLINE TRAIL RDF,WEYERHAEUSER,WI,54895,N4581 HUTCHINSON ROAD,RUSK COUNTY,45.45,-91.36,562212,"C,HH",Waste,19217.842,654.7,18517.25,45.892,,,,,,,,,12750.7,720.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18497.75,,,,N,N,N
1000908,1.10E+11,W S Lee,WILLIAMSTON,SC,29697,LEE STEAM PLANT RD,Anderson,34.6,-82.44,221112,"C,D",Power Plants,2272140.91,2269830.1,1053.25,1257.56,,,,,,,,,,54.3,2272086.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1011462,1.10E+11,W. R. Grace & Co.,Chicago,IL,60629,4099 W. 71st. Street,COOK COUNTY,41.76,-87.72,325180,C,Chemicals,21490.82,21468.9,10,11.92,,,,,,,,,,21490.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1013253,1.10E+11,W.R. Grace,East Chicago,IN,46312,5215 Kennedy Ave.,LAKE COUNTY,41.62,-87.46,325180,C,Chemicals,25852.452,25825.6,12.25,14.602,,,,,,,,,,25852.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006993,1.10E+11,WABASH VALLEY LANDFILL,WABASH,IN,46992,316 SPRING VALLEY ROAD,WABASH COUNTY,40.82,-85.8,562212,"C,HH",Waste,78103.798,133.5,77970,0.298,,,,,,,,,,134.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77969.75,,,,N,N,N
1006025,1.10E+11,WALKER MOUNTAIN LANDFILL-ROME-FLOYD SW COMMISSION,ROME,GA,30161,433 Walker Mt. Road,FLOYD COUNTY,34.26,-85.13,562212,HH,Waste,91894.75,,91894.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91894.75,,,,N,N,N
1005111,1.10E+11,WARBASSE HOUSES & POWER PLANT,BROOKLYN,NY,11224,2701 WEST 6TH STREET,KINGS COUNTY,40.58,-73.97,221112,C,Power Plants,31290.932,31258.6,14.75,17.582,,,,,,,,,,31290.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006253,1.10E+11,WARD MANUFACTURING LLC,BLOSSBURG,PA,16912,117 GULICK ST,TIOGA COUNTY,41.67,-77.06,331511,C,Metals,18238.802,18156.2,30.75,51.852,,,,,,,,,,18238.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007282,1.10E+11,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,LAYTON,UT,84040,1997 E 3500 North,DAVIS COUNTY,41.11,-111.92,562212,HH,Waste,45979,,45979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45979,,,,N,N,N
1004351,1.10E+11,WASATCH REGIONAL LANDFILL,North Skull Valley,UT,84029,8833 ROWLEY ROAD,TOOELE COUNTY,40.67,-112.76,562212,"C,HH",Waste,81240.6,21.1,81219.5,,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81219.5,,,,N,N,N
1004515,1.10E+11,WASCO COUNTY LANDFILL,THE DALLES,OR,97058,2550 STEELE ROAD,WASCO COUNTY,45.56,-121.14,562212,HH,Waste,103166,,103166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103166,,,,N,N,N
1005064,1.10E+11,WASHINGTON COUNTY SOLID WASTE,WASHINGTON,UT,84780,325 N LANDFILL ROAD,WASHINGTON COUNTY,37.14,-113.46,562212,HH,Waste,9958.25,,9958.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9958.25,,,,N,N,N
1005944,1.10E+11,WASHINGTON MILLS HENNEPIN INC.,HENNEPIN,IL,61327,13230 ESK STREET,PUTNAM COUNTY,41.3,-89.31,327910,"BB,C",Chemicals,102601.944,102600.3,0.75,0.894,,,,,,,,,,1525.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,101076.9,,,,,,,,,N,N,N
1005091,1.10E+11,WASHINGTON STATE UNIVERSITY,PULLMAN,WA,99164,2660 GRIMES WAY,WHITMAN COUNTY,46.73,-117.15,611310,C,Other,62453.562,62388.6,29.5,35.462,,,,,,,,,,62453.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003454,1.10E+11,WASTE CONNECTIONS - SOUTHSIDE LANDFILL,PUEBLO,CO,81005,5715 HWY 78 WEST,PUEBLO COUNTY,38.22,-104.71,562212,"C,HH",Waste,11941.95,20.2,11921.75,,,,,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11921.75,,,,N,N,N
1007583,1.10E+11,WASTE MANAGEMENT CHARLES CITY LANDFILL,CHARLES CITY,VA,23030,8000 CHAMBERS RD,CHARLES CITY COUNTY,37.43,-77.12,562212,"C,HH",Waste,72465.05,132.8,72332.25,,,,,,,,,,,132.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72332.25,,,,N,N,N
1007935,1.10E+11,WASTE MANAGEMENT DISPOSAL SERVICE MOUNTAIN VIEW LANDFILL,GREENCASTLE,PA,17225,9446 LETZBURG ROAD,FRANKLIN COUNTY,39.8,-77.81,562212,"C,HH",Waste,17490.394,767,16722.5,0.894,,,,,,,,,,768.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16722,,,,N,N,N
1007989,1.10E+11,WASTE MANAGEMENT DISPOSAL SERVICES OF OREGON,ARLINGTON,OR,97812,18177 CEDAR SPRINGS LANE,GILLIAM COUNTY,45.63,-120.22,562212,"C,HH",Waste,230590.434,3915,226457,218.434,,,,,,,,,58359.4,4226.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226364,,,,N,N,N
1007818,1.10E+11,WASTE MANAGEMENT GREATER WENATCHEE LANDF,EAST WENATCHEE,WA,98802,191 E WEBB RD,DOUGLAS COUNTY,47.4,-120.17,562212,HH,Waste,49645.25,,49645.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49645.25,,,,N,N,N
1003800,1.10E+11,WASTE MANAGEMENT INC Oyster Bay,SAN LEANDRO,CA,94577,2615 DAVIS STREET,ALAMEDA COUNTY,37.71,-122.19,562212,"C,HH",Waste,2402.946,1141.6,1260.75,0.596,,,,,,,,,,1142.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260.25,,,,N,N,N
1007797,1.10E+11,WASTE MANAGEMENT OF LA LLC - WOODSIDE SANITARY LANDFILL & RECYCLING CENTER,WALKER,LA,70785,29340 WOODSIDE DR,LIVINGSTON PARISH,30.5,-90.83,562212,"C,HH",Waste,29280.134,933,28344.75,2.384,,,,,,,,,,936.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28343.75,,,,N,N,N
1003299,1.10E+11,WASTE MANAGEMENT OF LA LLC/RELIABLE LANDFILL,LIVONIA,LA,70755,9533 MOORE LANE,POINTE COUPEE PARISH,30.58,-91.53,562212,HH,Waste,41085.5,,41085.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41085.5,,,,N,N,N
1003259,1.10E+11,WASTE MANAGEMENT OF MICHIGAN INC,LAKE ORION,MI,48359,600 W SILVER BELL RD,OAKLAND COUNTY,42.72,-83.25,562212,"C,HH",Waste,96635.502,236.4,96347.25,51.852,,,,,,,,,14327.7,310.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96325,,,,N,N,N
1003582,1.10E+11,WASTE MANAGEMENT OF MICHIGAN INCORPORATED,WAYNE,MI,48184,5900 HANNAN ROAD,WAYNE COUNTY,42.26,-83.43,562212,"C,HH",Waste,168002.848,679.8,167322.75,0.298,,,,,,,,,,680.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167322.5,,,,N,N,N
1007890,1.10E+11,"WASTE MANAGEMENT OF MISSISSIPPI INC, PECAN GROVE LANDFILL AND RECYCLING CENTER A",PASS CHRISTIAN,MS,39571,9685 FIRETOWER ROAD,HARRISON COUNTY,30.43,-89.27,562212,"C,HH",Waste,28566.5,0,28566.5,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28566.5,,,,N,N,N
1003399,1.10E+11,"WASTE MANAGEMENT OF MISSISSIPPI INC, PLANTATION OAKS MUNICIPAL LANDFILL AND RECY",SIBLEY,MS,39165,35 SHIELDSBORO ROAD,ADAMS COUNTY,31.36,-91.4,562212,"C,HH",Waste,81121,239,80882,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80882,,,,N,N,N
1007891,1.10E+11,"WASTE MANAGEMENT OF MISSISSIPPI INC, PRAIRIE BLUFF LANDFILL AND RECYCLING CENTER",HOUSTON,MS,38851,1649 HIGHWAY 15 NORTH,CHICKASAW COUNTY,33.96,-88.99,562212,"C,HH",Waste,35212.408,,35191.25,21.158,,,,,,,,,5846.3,30.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35182.25,,,,N,N,N
1007617,1.10E+11,"WASTE MANAGEMENT OF NEW YORK, LLC",CHAFFEE,NY,14030,10860 OLEAN ROAD,ERIE COUNTY,42.58,-78.49,562212,"C,HH",Waste,52096.88,1475.2,50536.75,84.93,,,,,,,,,23268.4,1596.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50500.25,,,,N,N,N
1007894,1.10E+11,WASTE MANAGEMENT OF TEXAS AUSTIN COMMUNITY RECYCLING & DISPOSAL FACILITY,AUSTIN,TX,78754,9900 GILES RD,TRAVIS COUNTY,30.33,-97.62,562212,"C,HH",Waste,57683.026,317.6,57302.25,63.176,,,,,,,,,17490.1,407.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57275.5,,,,N,N,N
1007683,1.10E+11,WASTE MANAGEMENT OF TUNICA LANDFILL INC,ROBINSONVILLE,MS,38664,6035 BOWDRE ROAD,TUNICA COUNTY,34.79,-90.25,562212,"C,HH",Waste,28944.898,162.1,28782.5,0.298,,,,,,,,,,162.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28782.25,,,,N,N,N
1007834,1.10E+11,"WASTE MANAGEMENT OF WISCONSIN, INC.",WHITELAW,WI,54247,6207 HEMPTON LAKE RD,MANITOWOC COUNTY,44.17,-87.83,562212,"C,HH",Waste,21747.67,1271.7,20397,78.97,,,,,,,,,21915.1,1384.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20363.25,,,,N,N,N
1007854,1.10E+11,WASTE MANAGEMENT PECAN PRAIRIE,CELESTE,TX,75423,1308 HIGHWAY 69 N,HUNT COUNTY,33.18,-96.13,562212,HH,Waste,18309.75,,18309.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18309.75,,,,N,N,N
1007852,1.10E+11,WASTE MANAGEMENT SKYLINE LANDFILL,FERRIS,TX,75125,1201 N CENTRAL AVE,DALLAS COUNTY,32.55,-96.67,562212,"C,HH",Waste,244893.414,21351.6,223491.75,50.064,,,,,,,,,,21422.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223470.75,,,,N,N,N
1003556,1.10E+11,WASTE MGMT DSPL SVC OF PA POTTSTOWN LDFL,POTTSTOWN,PA,19464,1425 SELL ROAD,MONTGOMERY COUNTY,40.27,-75.65,562212,"C,HH",Waste,4566.796,594.7,3971.5,0.596,,,,,,,,,,595.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3971.25,,,,N,N,N
1007907,1.10E+11,WASTE MGMT OF CO INC County Line,LITTLETON,CO,80126,4200 E COUNTY LINE RD,DOUGLAS COUNTY,39.56,-104.93,562212,HH,Waste,3926.75,,3926.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3926.75,,,,N,N,N
1007851,1.10E+11,WASTE MGMT OF OK,TULSA,OK,74116,4041 N 141ST E AVE,TULSA COUNTY,36.2,-95.82,562212,"C,HH",Waste,96865.35,32386.1,64479.25,,,,,,,,,,,32386.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64479.25,,,,N,N,N
1007801,1.10E+11,WASTE MGMT OF OK/EAST OAK LNDFLL,OKLAHOMA CITY,OK,73141,3201 MOSLEY ROAD,OKLAHOMA COUNTY,35.51,-97.42,562212,HH,Waste,143376,,143376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143376,,,,N,N,N
1002854,1.10E+11,WATER RENEWAL CENTER,STEVENS POINT,WI,54481,2690 W RIVER RD,PORTAGE COUNTY,44.49,-89.58,562212,"C,TT","Other,Waste",24019.248,123.7,23895.25,0.298,,,,,,,,,,124.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23895,N,N,N
1007720,1.10E+11,WATERS LANDFILL,FREDERIC,MI,49733,11376 SHERMAN RD,CRAWFORD COUNTY,44.85,-84.67,562212,"C,HH",Waste,12763.444,1149.3,11613.25,0.894,,,,,,,,,,1150.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11613,,,,N,N,N
1002902,1.10E+11,WATERTOWN LANDFILL,WATERTOWN,SD,57201,"HWY 81, 3 MI S OF TOWN",CODINGTON COUNTY,44.98,-97.19,562212,HH,Waste,37087.5,,37087.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37087.5,,,,N,N,N
1008042,1.10E+11,WAUNA MILL,CLATSKANIE,OR,97016,92326 TAYLORVILLE ROAD,CLATSOP COUNTY,46.16,-123.41,322121,"AA,C,TT","Pulp and Paper,Waste",307198.978,277657.2,28309.25,1232.528,,,,,,,,,442688.4,237774.014,,,,,,,,,,,,,,,,,,,,,,,,,,,41555.464,,,,,,,,,27869.5,N,N,N
