Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC22 Production from HFC23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems - Offshore Production,Petroleum and Natural Gas Systems - Processing,Petroleum and Natural Gas Systems - Transmission/Compression,Petroleum and Natural Gas Systems - Underground Storage,Petroleum and Natural Gas Systems - LNG Storage,Petroleum and Natural Gas Systems - LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,CO2 used for NH3 / Lime?,Supplier of CO2?,CEMS?
1000405,1.10E+11,WESTERN PLAINS ENERGY LLC,OAKLEY,KS,67748,3022 COUNTY ROAD 18,GOVE COUNTY,39.12,-100.74,325193,C,Other,46935.52,46887.3,22,26.22,,,,,,,,,,46935.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006501,1.10E+11,WESTERN REGIONAL SANITARY LANDFILL,LINCOLN,CA,95648,3195 ATHENS AVENUE,PLACER COUNTY,38.84,-121.35,562212,HH,Waste,38325,,38325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38325,,,,N,N,N
1000019,1.10E+11,WESTERN SUGAR COMPANY,SCOTTSBLUFF,NE,69361,2100 E. OVERLAND DR.,SCOTTS BLUFF COUNTY,41.86,-103.63,311313,"C,S",Minerals,352427.92,350793,601.75,1033.17,,,,,,,,,,247992.72,,,,,,,,,,,,,,104435.2,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
1001823,1.10E+11,WESTERN SUGAR COOP,FORT MORGAN,CO,80701,18317 HIGHWAY 144,MORGAN COUNTY,40.26,-103.81,311313,"C,S",Minerals,150454.75,150385.7,31.5,37.55,,,,,,,,,,67153.65,,,,,,,,,,,,,,83301.1,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
1001783,1.10E+11,WESTERN SUGAR COOPERATIVE,BILLINGS,MT,59101,3020 STATE AVE.,YELLOWSTONE COUNTY,45.77,-108.5,311313,"C,S",Minerals,114806.25,114101.6,258.25,446.4,,,,,,,,,,96740.85,,,,,,,,,,,,,,18065.4,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
1004492,1.10E+11,WESTHOLLOW TECHNOLOGY CENTER,HOUSTON,TX,77082,3333 HWY. 6 S.,HARRIS COUNTY,29.73,-95.64,541380,C,Other,16032.34,16015.9,7.5,8.94,,,,,,,,,,16032.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003655,1.10E+11,WESTLAKE PETROCHEMICALS LP - ETHYLENE MANUFACTURING COMPLEX (PETRO I/PETRO II),SULPHUR,LA,70665,900 EAST HWY 108,CALCASIEU PARISH,30.18,-93.36,325110,"C,X",Chemicals,951889.5,933474.1,9341,9074.4,,,,,,,,,,871622.09,,,,,,,,,,,,,,,,,,,,,,,,80267.41,,,,,,,,,,,,,N,N,N
1003654,1.10E+11,WESTLAKE POLYMERS LP - POLYETHYLENE I & II PLANTS,SULPHUR,LA,70665,3525 CITIES SERVICE HWY,CALCASIEU PARISH,30.22,-93.33,325211,C,Other,38891.9,38851.9,18.25,21.75,,,,,,,,,,38891.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005564,1.10E+11,WESTLAKE STYRENE LLC - STYRENE MONOMER PRODUCTION FACILITY,SULPHUR,LA,70664,900 HWY 108,CALCASIEU PARISH,30.18,-93.36,325110,C,Chemicals,137657.53,137515.6,64.75,77.18,,,,,,,,,,137657.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004900,1.10E+11,WESTLAKE VINYLS CO LP,GEISMAR,LA,70734,36045 Highway 30,ASCENSION PARISH,30.21,-91.01,325199,"C,X",Chemicals,203581.95,203205.3,138.25,238.4,,,,,,,,,,150150.98,,,,,,,,,,,,,,,,,,,,,,,,53430.97,,,,,,,,,,,,,N,N,N
